22:42:53.605 HWUI                         Davey! duration=1997ms; Flags=0, FrameTimelineVsyncId=14062, IntendedVsync=110805070882, Vsync=111655070848, InputEventId=0, HandleInputStart=111657066969, AnimationStart=111657073982, PerformTraversalsStart=112791414872, DrawStart=112793687294, FrameDeadline=111655070848, FrameStartTime=111656119694, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=112794408144, SyncStart=112794904147, IssueDrawCommandsStart=112795124436, SwapBuffers=112797097584, FrameCompleted=112803312129, DequeueBufferDuration=8517, QueueBufferDuration=5076397, GpuCompleted=112803205829, SwapBuffersCompleted=112803312129, DisplayPresentTime=25258702673649, CommandSubmissionCompleted=112797097584, 
22:42:53.814 WindowOnBackDispatcher       sendCancelIfRunning: isInProgress=false callback=android.view.ViewRootImpl$$ExternalSyntheticLambda13@d69365
22:42:53.840 HWUI                         Davey! duration=2230ms; Flags=0, FrameTimelineVsyncId=14062, IntendedVsync=110805070882, Vsync=111655070848, InputEventId=0, HandleInputStart=111657066969, AnimationStart=111657073982, PerformTraversalsStart=112791414872, DrawStart=112961054195, FrameDeadline=110821737548, FrameStartTime=111656119694, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=113014131475, SyncStart=113017055420, IssueDrawCommandsStart=113017440014, SwapBuffers=113024877204, FrameCompleted=113038740286, DequeueBufferDuration=5409, QueueBufferDuration=8880588, GpuCompleted=113038609487, SwapBuffersCompleted=113038740286, DisplayPresentTime=0, CommandSubmissionCompleted=113024877204, 
22:42:53.853 SafeNavigation               Current back stack routes: [home]
22:42:53.853 SafeNavigation               Already at home, skipping navigation
22:42:53.887 HomeScreen                   UI: Initializing Home Screen
22:42:53.924 Choreographer                Skipped 87 frames!  The application may be doing too much work on its main thread.
22:42:54.292 HomeViewModel                Last selected role: passenger
22:42:54.647 HWUI                         Davey! duration=2167ms; Flags=0, FrameTimelineVsyncId=14253, IntendedVsync=111671737514, Vsync=113121737456, InputEventId=0, HandleInputStart=113148880149, AnimationStart=113148885890, PerformTraversalsStart=113420568385, DrawStart=113446670666, FrameDeadline=113071737458, FrameStartTime=113135948441, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=113447397673, SyncStart=113447760808, IssueDrawCommandsStart=113447907200, SwapBuffers=113819872087, FrameCompleted=113839218228, DequeueBufferDuration=27202, QueueBufferDuration=2163786, GpuCompleted=113839218228, SwapBuffersCompleted=113826338621, DisplayPresentTime=0, CommandSubmissionCompleted=113819872087, 
22:42:54.703 LoginScreen                  User Flow: User leaving login/registration screen
22:42:54.746 FirebaseAuth                 Notifying id token listeners about user ( 0bcn9Z5endM7OfZqIryUswAGJM93 ).
22:42:54.767 HWUI                         Davey! duration=813ms; Flags=0, FrameTimelineVsyncId=14528, IntendedVsync=113155070788, Vsync=113505070774, InputEventId=0, HandleInputStart=113694644012, AnimationStart=113694649796, PerformTraversalsStart=113935268300, DrawStart=113947253371, FrameDeadline=113871737426, FrameStartTime=113514585205, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=113952579869, SyncStart=113955295167, IssueDrawCommandsStart=113955350879, SwapBuffers=113959619721, FrameCompleted=113971780129, DequeueBufferDuration=5102, QueueBufferDuration=716961, GpuCompleted=113969659718, SwapBuffersCompleted=113971780129, DisplayPresentTime=0, CommandSubmissionCompleted=113959619721, 
22:42:55.196 om.example.taxi              AssetManager2(0x7a3335e02cb8) locale list changing from [] to [en-US]
22:42:55.206 om.example.taxi              AssetManager2(0x7a3335df96b8) locale list changing from [] to [en-US]
22:42:55.232 ActivityThread               ApplicationInfo updating for com.example.taxi, new timestamp: 114341
                                          assets removed: []
                                          assets added: [/data/resource-cache/com.android.systemui-neutral-nr4Y.frro, /data/resource-cache/com.android.systemui-accent-YdCA.frro, /data/resource-cache/com.android.systemui-dynamic-eCig.frro]
22:42:55.315 FirebaseAuth                 Notifying id token listeners about user ( 0bcn9Z5endM7OfZqIryUswAGJM93 ).
22:42:55.690 MainActivity                 Lifecycle: MainActivity is being paused
22:42:55.690 AnalyticsManager             Logged event: app_background with params: {}
22:42:55.691 TaxiApplication              App entered background
22:42:55.704 AnalyticsManager             Logged event: app_background with params: {}
22:42:55.705 SessionLifecycleClient       Sending lifecycle 2 to service
22:42:55.706 SessionLifecycleService      Activity backgrounding at 114917
22:42:55.713 LocationService              Location updates paused for background operation
22:42:55.780 HomeScreen                   User Flow: User leaving home screen
22:42:55.799 LeakCanary                   Watching instance of androidx.lifecycle.ReportFragment (androidx.lifecycle.ReportFragment received Fragment#onDestroy() callback) with key 7e5f611a-a5c6-493e-93df-a8d47087c289
22:42:55.799 MainActivity                 Lifecycle: MainActivity is being destroyed, cleaning up resources
22:42:55.800 AnalyticsManager             Logged event: app_close with params: {}
22:42:55.804 LocationServiceManager       Cleaning up LocationServiceManager
22:42:55.805 NotificationService          Performing complete service cleanup
22:42:55.805 NotificationStateManager     Already stopped, ignoring stop request
22:42:55.805 NotificationService          Skipping monitoring stop - already stopped or stopping
22:42:55.805 NotificationService          Coroutine scope canceled
22:42:55.805 NotificationService          Service cleaned up
22:42:55.805 ServiceInitManager           Cleaning up ServiceInitializationManager
22:42:55.806 LeakCanary                   Watching instance of com.example.taxi.MainActivity (com.example.taxi.MainActivity received Activity#onDestroy() callback) with key 059683a2-894e-4212-adbb-265af67255be
22:42:55.806 NotificationService          Performing complete service cleanup
22:42:55.806 NotificationStateManager     Already stopped, ignoring stop request
22:42:55.806 NotificationService          Skipping monitoring stop - already stopped or stopping
22:42:55.806 NotificationService          Coroutine scope canceled
22:42:55.806 NotificationService          Service cleaned up
22:42:55.806 TaxiApplication              Notification service cleaned up
22:42:55.806 WindowOnBackDispatcher       sendCancelIfRunning: isInProgress=false callback=android.view.ViewRootImpl$$ExternalSyntheticLambda13@4e709d4
22:42:55.837 ViewRootImpl                 Skipping stats log for color mode
22:42:55.867 om.example.taxi              AssetManager2(0x7a3335e05b98) locale list changing from [] to [en-US]
22:42:55.917 MainActivity                 Application startup: Initializing main activity
22:42:56.011 AppInitManager               Starting app initialization sequence
22:42:56.013 AnalyticsManager             Logged event: app_initialization_started with params: {}
22:42:56.016 AppInitManager               Initializing Location Services
22:42:56.016 LocationService              Preparing location service components
22:42:56.017 AppInitManager               Initializing Firebase
22:42:56.021 AppInitManager               Initializing Notifications
22:42:56.021 NotificationService          Creating notification channels
22:42:56.024 AppInitManager               Initializing Analytics
22:42:56.026 AnalyticsManager             Set user property: app_version = 1.0
22:42:56.026 AnalyticsManager             Set user property: app_version_code = 1
22:42:56.026 AnalyticsManager             Set user property: device_model = sdk_gphone64_x86_64
